"Период","Контент ID","URL","Тема","Тип материала","Дата публикации","В поиске Яндекса","Причина исключения","Показы","Клики","CTR","Средняя позиция","Визиты","Просмотры страниц","Просмотры статьи","Скролл 50%","Скролл 90%","Активное чтение 60с","Открытия FAQ","Клики по связанным материалам","Намерение написать","Просмотры CTA","Клики CTA","Открытия выбора мессенджера","Все кнопочные действия","Telegram","WhatsApp","Всего переходов в чат","Конверсия в чат","Решение / что изменить"
"2026-07-07—2026-08-05","debt-third-party-card","/razbory/dengi-v-dolg-na-chuzhuyu-kartu/","Деньги в долг переведены на чужую карту: с кого взыскивать","Статья","2026-07-29","Да","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","debt-no-return-term","/razbory/srok-vozvrata-dolga-ne-ukazan/","Что делать, если в расписке или переписке не указан срок возврата долга","Статья","2026-07-29","Да","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","seller-disappeared-after-payment","/razbory/prodavets-propal-posle-perevoda/","Продавец или исполнитель получил деньги и перестал отвечать: что делать","Статья","2026-07-30","Да","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","refund-non-rendered-service","/razbory/vernut-dengi-za-neokazannuyu-uslugu/","Как вернуть деньги за неоказанную услугу","Статья","2026-07-31","Да","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","refund-voluntary-service-cancellation","/razbory/otkaz-ot-dogovora-okazaniya-uslug/","Отказ от договора оказания услуг: как вернуть деньги","Статья","2026-07-31","Да","","1","1","100.00%","4","2","4","3","0","0","0","0","0","0","7","0","0","3","0","0","0","0.00%","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","refund-imposed-service","/razbory/vernut-dengi-za-navyazannuyu-uslugu/","Как вернуть деньги за навязанную услугу","Статья","2026-08-01","Да","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","trademark-claim-marketplace","/razbory/pretenziya-za-tovarnyy-znak-na-marketpleyse/","Пришла претензия за товарный знак на Wildberries или Ozon: что делать продавцу","Статья","2026-08-03","Нет","","0","0","","","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0.00%","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","fraud-police-statement","/razbory/zayavlenie-v-politsiyu-o-moshennichestve/","Заявление в полицию о мошенничестве: как изложить факты и приложить доказательства","Статья","2026-08-04","Нет","","0","0","","","1","1","1","1","1","1","0","0","0","6","0","0","1","0","0","0","0.00%","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","hotel-booking-refund","/razbory/vernut-dengi-za-otmenennuyu-bron-otelya/","Как вернуть предоплату за отменённую бронь отеля, если отель и сервис перекладывают ответственность","Статья","2026-08-04","Да","","0","0","","","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0.00%","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","contract-engine-no-receipt","/razbory/dengi-za-kontraktnyy-dvigatel-bez-raspiski/","Деньги за контрактный двигатель передали без расписки: что делать, если мотор не привезли","Статья","2026-08-04","Да","","0","0","","","1","3","2","0","0","0","0","0","0","3","0","0","0","0","0","0","0.00%","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","ozon-lost-goods-logistics","/razbory/ozon-poteryal-tovar-ili-nachislil-lishnyuyu-logistiku/","Ozon потерял товар или начислил лишнюю логистику: как продавцу подготовить претензию","Статья","2026-08-04","Да","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","used-car-hidden-defect","/razbory/skrytyy-defekt-poderzhannogo-avtomobilya/","Купили подержанный автомобиль со скрытым дефектом: что делать до ремонта","Статья","2026-08-04","Нет","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","medical-error-first-steps","/razbory/vrachebnaya-oshibka-pri-rodah-s-chego-nachat/","Врачебная ошибка при родах: с чего начать и как проверить основания для компенсации","Статья","2026-08-04","Нет","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","bailiff-small-pension-payments","/razbory/pristav-perechislyaet-malo-s-pensii-dolzhnika/","Пристав перечисляет слишком мало: как взыскателю проверить удержания с пенсии должника","Статья","2026-08-05","Нет","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","Договор с дизайнером: как передать исключительные права на инфографику","Статья","2026-08-05","Нет","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","Яндекс Доставка потеряла посылку: как получить компенсацию, если чеков нет","Статья","2026-08-05","Нет","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","Подрядчик не построил дом после оплаты: как отказаться от договора и вернуть деньги","Статья","2026-08-06","Нет","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","police-review","/praktika/otmena-otkazov-policii-i-dopolnitelnaya-proverka/","Отмена отказов и дополнительная проверка по факту причинения вреда","Кейс","2026-07-28","Да","","0","0","","","1","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00%","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","debt-demand","/praktika/pretenziya-i-raschet-po-dolgu-po-raspiske/","Претензия и расчёт по долгу, оформленному договором или распиской","Кейс","2026-07-29","Да","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","refund-service-hub","/uslugi/vozvrat-deneg/","Возврат денег за услугу, аванс или навязанный договор","Услуга","","Да","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-07—2026-08-05","complaints-service-hub","/uslugi/zhaloby-i-obrashcheniya/","Жалоба на бездействие, формальный отказ или нарушение прав","Услуга","","Да","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Наблюдение: выборка недостаточна, страницу не менять."
